year,grid_x,grid_y,sample_step_minutes,x_index,y_index,x_ft,y_ft,annual_sun_hours,avg_daily_sun_hours
2026,30,54,15,0,0,-7.250,-13.250,0.00,0.000
2026,30,54,15,1,0,-6.750,-13.250,0.00,0.000
2026,30,54,15,2,0,-6.250,-13.250,0.00,0.000
2026,30,54,15,3,0,-5.750,-13.250,0.00,0.000
2026,30,54,15,4,0,-5.250,-13.250,0.00,0.000
2026,30,54,15,5,0,-4.750,-13.250,0.00,0.000
2026,30,54,15,6,0,-4.250,-13.250,0.00,0.000
2026,30,54,15,7,0,-3.750,-13.250,0.00,0.000
2026,30,54,15,8,0,-3.250,-13.250,0.00,0.000
2026,30,54,15,9,0,-2.750,-13.250,0.00,0.000
2026,30,54,15,10,0,-2.250,-13.250,0.00,0.000
2026,30,54,15,11,0,-1.750,-13.250,0.00,0.000
2026,30,54,15,12,0,-1.250,-13.250,0.00,0.000
2026,30,54,15,13,0,-0.750,-13.250,0.00,0.000
2026,30,54,15,14,0,-0.250,-13.250,0.00,0.000
2026,30,54,15,15,0,0.250,-13.250,0.00,0.000
2026,30,54,15,16,0,0.750,-13.250,0.00,0.000
2026,30,54,15,17,0,1.250,-13.250,0.00,0.000
2026,30,54,15,18,0,1.750,-13.250,0.00,0.000
2026,30,54,15,19,0,2.250,-13.250,0.00,0.000
2026,30,54,15,20,0,2.750,-13.250,0.00,0.000
2026,30,54,15,21,0,3.250,-13.250,0.00,0.000
2026,30,54,15,22,0,3.750,-13.250,0.00,0.000
2026,30,54,15,23,0,4.250,-13.250,0.00,0.000
2026,30,54,15,24,0,4.750,-13.250,0.00,0.000
2026,30,54,15,25,0,5.250,-13.250,0.00,0.000
2026,30,54,15,26,0,5.750,-13.250,0.00,0.000
2026,30,54,15,27,0,6.250,-13.250,0.00,0.000
2026,30,54,15,28,0,6.750,-13.250,0.00,0.000
2026,30,54,15,29,0,7.250,-13.250,0.00,0.000
2026,30,54,15,0,1,-7.250,-12.750,0.00,0.000
2026,30,54,15,1,1,-6.750,-12.750,0.00,0.000
2026,30,54,15,2,1,-6.250,-12.750,0.00,0.000
2026,30,54,15,3,1,-5.750,-12.750,0.00,0.000
2026,30,54,15,4,1,-5.250,-12.750,0.00,0.000
2026,30,54,15,5,1,-4.750,-12.750,0.00,0.000
2026,30,54,15,6,1,-4.250,-12.750,0.00,0.000
2026,30,54,15,7,1,-3.750,-12.750,0.00,0.000
2026,30,54,15,8,1,-3.250,-12.750,0.00,0.000
2026,30,54,15,9,1,-2.750,-12.750,0.00,0.000
2026,30,54,15,10,1,-2.250,-12.750,0.00,0.000
2026,30,54,15,11,1,-1.750,-12.750,0.00,0.000
2026,30,54,15,12,1,-1.250,-12.750,0.00,0.000
2026,30,54,15,13,1,-0.750,-12.750,0.00,0.000
2026,30,54,15,14,1,-0.250,-12.750,0.00,0.000
2026,30,54,15,15,1,0.250,-12.750,0.00,0.000
2026,30,54,15,16,1,0.750,-12.750,0.00,0.000
2026,30,54,15,17,1,1.250,-12.750,0.00,0.000
2026,30,54,15,18,1,1.750,-12.750,0.00,0.000
2026,30,54,15,19,1,2.250,-12.750,0.00,0.000
2026,30,54,15,20,1,2.750,-12.750,0.00,0.000
2026,30,54,15,21,1,3.250,-12.750,0.00,0.000
2026,30,54,15,22,1,3.750,-12.750,0.00,0.000
2026,30,54,15,23,1,4.250,-12.750,0.00,0.000
2026,30,54,15,24,1,4.750,-12.750,0.00,0.000
2026,30,54,15,25,1,5.250,-12.750,0.00,0.000
2026,30,54,15,26,1,5.750,-12.750,0.00,0.000
2026,30,54,15,27,1,6.250,-12.750,0.00,0.000
2026,30,54,15,28,1,6.750,-12.750,0.00,0.000
2026,30,54,15,29,1,7.250,-12.750,0.00,0.000
2026,30,54,15,0,2,-7.250,-12.250,0.00,0.000
2026,30,54,15,1,2,-6.750,-12.250,0.00,0.000
2026,30,54,15,2,2,-6.250,-12.250,0.00,0.000
2026,30,54,15,3,2,-5.750,-12.250,0.00,0.000
2026,30,54,15,4,2,-5.250,-12.250,0.00,0.000
2026,30,54,15,5,2,-4.750,-12.250,0.00,0.000
2026,30,54,15,6,2,-4.250,-12.250,0.00,0.000
2026,30,54,15,7,2,-3.750,-12.250,0.00,0.000
2026,30,54,15,8,2,-3.250,-12.250,0.00,0.000
2026,30,54,15,9,2,-2.750,-12.250,0.00,0.000
2026,30,54,15,10,2,-2.250,-12.250,0.00,0.000
2026,30,54,15,11,2,-1.750,-12.250,0.00,0.000
2026,30,54,15,12,2,-1.250,-12.250,0.00,0.000
2026,30,54,15,13,2,-0.750,-12.250,0.00,0.000
2026,30,54,15,14,2,-0.250,-12.250,0.00,0.000
2026,30,54,15,15,2,0.250,-12.250,0.00,0.000
2026,30,54,15,16,2,0.750,-12.250,0.00,0.000
2026,30,54,15,17,2,1.250,-12.250,0.00,0.000
2026,30,54,15,18,2,1.750,-12.250,0.00,0.000
2026,30,54,15,19,2,2.250,-12.250,0.00,0.000
2026,30,54,15,20,2,2.750,-12.250,0.00,0.000
2026,30,54,15,21,2,3.250,-12.250,0.00,0.000
2026,30,54,15,22,2,3.750,-12.250,0.00,0.000
2026,30,54,15,23,2,4.250,-12.250,0.00,0.000
2026,30,54,15,24,2,4.750,-12.250,0.00,0.000
2026,30,54,15,25,2,5.250,-12.250,0.00,0.000
2026,30,54,15,26,2,5.750,-12.250,0.00,0.000
2026,30,54,15,27,2,6.250,-12.250,0.00,0.000
2026,30,54,15,28,2,6.750,-12.250,0.00,0.000
2026,30,54,15,29,2,7.250,-12.250,0.00,0.000
2026,30,54,15,0,3,-7.250,-11.750,10.75,0.029
2026,30,54,15,1,3,-6.750,-11.750,10.00,0.027
2026,30,54,15,2,3,-6.250,-11.750,8.00,0.022
2026,30,54,15,3,3,-5.750,-11.750,3.25,0.009
2026,30,54,15,4,3,-5.250,-11.750,1.25,0.003
2026,30,54,15,5,3,-4.750,-11.750,0.00,0.000
2026,30,54,15,6,3,-4.250,-11.750,0.00,0.000
2026,30,54,15,7,3,-3.750,-11.750,0.00,0.000
2026,30,54,15,8,3,-3.250,-11.750,0.00,0.000
2026,30,54,15,9,3,-2.750,-11.750,0.00,0.000
2026,30,54,15,10,3,-2.250,-11.750,0.00,0.000
2026,30,54,15,11,3,-1.750,-11.750,0.00,0.000
2026,30,54,15,12,3,-1.250,-11.750,0.00,0.000
2026,30,54,15,13,3,-0.750,-11.750,0.00,0.000
2026,30,54,15,14,3,-0.250,-11.750,0.00,0.000
2026,30,54,15,15,3,0.250,-11.750,0.00,0.000
2026,30,54,15,16,3,0.750,-11.750,0.00,0.000
2026,30,54,15,17,3,1.250,-11.750,0.00,0.000
2026,30,54,15,18,3,1.750,-11.750,0.00,0.000
2026,30,54,15,19,3,2.250,-11.750,0.00,0.000
2026,30,54,15,20,3,2.750,-11.750,0.00,0.000
2026,30,54,15,21,3,3.250,-11.750,0.00,0.000
2026,30,54,15,22,3,3.750,-11.750,0.00,0.000
2026,30,54,15,23,3,4.250,-11.750,0.50,0.001
2026,30,54,15,24,3,4.750,-11.750,3.75,0.010
2026,30,54,15,25,3,5.250,-11.750,6.50,0.018
2026,30,54,15,26,3,5.750,-11.750,6.75,0.018
2026,30,54,15,27,3,6.250,-11.750,7.75,0.021
2026,30,54,15,28,3,6.750,-11.750,9.00,0.025
2026,30,54,15,29,3,7.250,-11.750,11.00,0.030
2026,30,54,15,0,4,-7.250,-11.250,55.25,0.151
2026,30,54,15,1,4,-6.750,-11.250,51.75,0.142
2026,30,54,15,2,4,-6.250,-11.250,49.00,0.134
2026,30,54,15,3,4,-5.750,-11.250,46.50,0.127
2026,30,54,15,4,4,-5.250,-11.250,44.50,0.122
2026,30,54,15,5,4,-4.750,-11.250,37.75,0.103
2026,30,54,15,6,4,-4.250,-11.250,33.25,0.091
2026,30,54,15,7,4,-3.750,-11.250,29.50,0.081
2026,30,54,15,8,4,-3.250,-11.250,27.50,0.075
2026,30,54,15,9,4,-2.750,-11.250,26.25,0.072
2026,30,54,15,10,4,-2.250,-11.250,17.50,0.048
2026,30,54,15,11,4,-1.750,-11.250,14.50,0.040
2026,30,54,15,12,4,-1.250,-11.250,13.00,0.036
2026,30,54,15,13,4,-0.750,-11.250,6.75,0.018
2026,30,54,15,14,4,-0.250,-11.250,4.00,0.011
2026,30,54,15,15,4,0.250,-11.250,8.75,0.024
2026,30,54,15,16,4,0.750,-11.250,7.00,0.019
2026,30,54,15,17,4,1.250,-11.250,9.00,0.025
2026,30,54,15,18,4,1.750,-11.250,14.00,0.038
2026,30,54,15,19,4,2.250,-11.250,19.25,0.053
2026,30,54,15,20,4,2.750,-11.250,21.00,0.058
2026,30,54,15,21,4,3.250,-11.250,24.50,0.067
2026,30,54,15,22,4,3.750,-11.250,30.75,0.084
2026,30,54,15,23,4,4.250,-11.250,35.00,0.096
2026,30,54,15,24,4,4.750,-11.250,37.00,0.101
2026,30,54,15,25,4,5.250,-11.250,40.25,0.110
2026,30,54,15,26,4,5.750,-11.250,43.50,0.119
2026,30,54,15,27,4,6.250,-11.250,48.75,0.134
2026,30,54,15,28,4,6.750,-11.250,54.50,0.149
2026,30,54,15,29,4,7.250,-11.250,57.00,0.156
2026,30,54,15,0,5,-7.250,-10.750,179.50,0.492
2026,30,54,15,1,5,-6.750,-10.750,178.25,0.488
2026,30,54,15,2,5,-6.250,-10.750,177.00,0.485
2026,30,54,15,3,5,-5.750,-10.750,178.25,0.488
2026,30,54,15,4,5,-5.250,-10.750,175.75,0.482
2026,30,54,15,5,5,-4.750,-10.750,177.50,0.486
2026,30,54,15,6,5,-4.250,-10.750,183.50,0.503
2026,30,54,15,7,5,-3.750,-10.750,178.25,0.488
2026,30,54,15,8,5,-3.250,-10.750,180.00,0.493
2026,30,54,15,9,5,-2.750,-10.750,179.00,0.490
2026,30,54,15,10,5,-2.250,-10.750,184.75,0.506
2026,30,54,15,11,5,-1.750,-10.750,180.50,0.495
2026,30,54,15,12,5,-1.250,-10.750,184.00,0.504
2026,30,54,15,13,5,-0.750,-10.750,183.00,0.501
2026,30,54,15,14,5,-0.250,-10.750,186.75,0.512
2026,30,54,15,15,5,0.250,-10.750,182.75,0.501
2026,30,54,15,16,5,0.750,-10.750,185.25,0.508
2026,30,54,15,17,5,1.250,-10.750,184.75,0.506
2026,30,54,15,18,5,1.750,-10.750,183.75,0.503
2026,30,54,15,19,5,2.250,-10.750,178.75,0.490
2026,30,54,15,20,5,2.750,-10.750,181.50,0.497
2026,30,54,15,21,5,3.250,-10.750,181.00,0.496
2026,30,54,15,22,5,3.750,-10.750,181.25,0.497
2026,30,54,15,23,5,4.250,-10.750,176.25,0.483
2026,30,54,15,24,5,4.750,-10.750,177.00,0.485
2026,30,54,15,25,5,5.250,-10.750,181.50,0.497
2026,30,54,15,26,5,5.750,-10.750,176.75,0.484
2026,30,54,15,27,5,6.250,-10.750,177.75,0.487
2026,30,54,15,28,5,6.750,-10.750,177.50,0.486
2026,30,54,15,29,5,7.250,-10.750,176.25,0.483
2026,30,54,15,0,6,-7.250,-10.250,265.75,0.728
2026,30,54,15,1,6,-6.750,-10.250,271.25,0.743
2026,30,54,15,2,6,-6.250,-10.250,280.00,0.767
2026,30,54,15,3,6,-5.750,-10.250,283.25,0.776
2026,30,54,15,4,6,-5.250,-10.250,291.75,0.799
2026,30,54,15,5,6,-4.750,-10.250,296.00,0.811
2026,30,54,15,6,6,-4.250,-10.250,295.25,0.809
2026,30,54,15,7,6,-3.750,-10.250,303.75,0.832
2026,30,54,15,8,6,-3.250,-10.250,306.25,0.839
2026,30,54,15,9,6,-2.750,-10.250,309.75,0.849
2026,30,54,15,10,6,-2.250,-10.250,309.50,0.848
2026,30,54,15,11,6,-1.750,-10.250,316.25,0.866
2026,30,54,15,12,6,-1.250,-10.250,318.50,0.873
2026,30,54,15,13,6,-0.750,-10.250,319.00,0.874
2026,30,54,15,14,6,-0.250,-10.250,318.00,0.871
2026,30,54,15,15,6,0.250,-10.250,317.75,0.871
2026,30,54,15,16,6,0.750,-10.250,318.00,0.871
2026,30,54,15,17,6,1.250,-10.250,317.00,0.868
2026,30,54,15,18,6,1.750,-10.250,311.75,0.854
2026,30,54,15,19,6,2.250,-10.250,315.75,0.865
2026,30,54,15,20,6,2.750,-10.250,308.75,0.846
2026,30,54,15,21,6,3.250,-10.250,306.50,0.840
2026,30,54,15,22,6,3.750,-10.250,300.25,0.823
2026,30,54,15,23,6,4.250,-10.250,304.00,0.833
2026,30,54,15,24,6,4.750,-10.250,293.50,0.804
